,MUSE-SBSA,MUSE-SBSB
0,0.012750031,0.005339413
1,0.007258902,0.0044616903
2,0.0017858051,0.0009796506
3,0.0072459998,0.004534903
4,0.0051728217,0.003907794
5,0.0033912088,0.0022259888
6,0.0011708366,0.010087425
7,0.005303869,0.0033870074
8,0.012284535,0.009230453
9,0.0077644065,0.004466289
10,0.019400839,0.013669023
11,0.009667289,0.005928503
12,0.00670022,0.003139095
13,0.004281398,0.0032161376
14,0.00524628,0.0036336058
15,0.007909966,0.0053576576
16,0.026696011,0.0127147185
17,0.0053926497,0.0032218285
18,0.01419957,0.0064572496
19,0.015240605,0.0067100697
20,0.0026749722,0.0010913574
21,0.0014104497,0.00053751515
22,0.002334611,0.0009126106
23,0.004320645,0.0017557542
24,0.00940786,0.0057134167
25,0.007900062,0.0052431016
26,0.002395092,0.0019509371
27,0.008345073,0.004605127
28,0.00439698,0.0033884938
29,0.004749161,0.0031715431
30,0.0035317342,0.0025984612
31,0.005492827,0.005211334
32,0.014574833,0.013693705
33,0.012806738,0.008725049
34,0.011360243,0.010224419
35,0.012667829,0.010592574
36,0.004589415,0.0025667867
37,0.0047001154,0.0031917952
38,0.0048610284,0.0022070997
39,0.005602532,0.0022743135
40,0.007093842,0.004798059
41,0.0048958687,0.0032771442
42,0.0059589744,0.003547153
43,0.007205325,0.0035265374
44,0.0027697787,0.0013958563
45,0.0027141687,0.0021607683
46,0.002810153,0.0010367482
47,0.005552492,0.0028814652
48,0.007209928,0.0047370954
49,0.0055357753,0.0035674267
50,0.0015718106,0.0010288081
51,0.0070807217,0.0033150497
52,0.0027245854,0.0014053416
53,0.003333595,0.0019573246
54,0.00071962125,0.005421488
55,0.0033161282,0.0028896085
56,0.009247718,0.0065806
57,0.0075200098,0.0065041883
58,0.018264947,0.012315391
59,0.010178903,0.0068995925
60,0.0034304224,0.0021663755
61,0.002103089,0.0008316372
62,0.0029682522,0.0013059953
63,0.0036355234,0.001225708
64,0.010983577,0.004751597
65,0.0045244666,0.002564133
66,0.005386674,0.0031949196
67,0.0072518857,0.0040533
68,0.002793315,0.012275721
69,0.00090639887,0.0083251465
70,0.0023479033,0.00080779835
71,0.0033510127,0.0026685572
72,0.012811271,0.022040034
73,0.008405889,0.010020464
74,0.0018936868,0.002508891
75,0.015927784,0.016598668
76,0.014926927,0.080714986
77,0.0070833405,0.02252264
78,0.0034786654,0.0058436887
79,0.016672526,0.096885756
80,0.034341663,0.14327395
81,0.016948212,0.035819367
82,0.012865594,0.019763388
83,0.022306468,0.067473695
84,0.0074197734,0.0043133227
85,0.0042741755,0.0030350343
86,0.003595905,0.0021740608
87,0.0070589157,0.00324913
88,0.012255681,0.0051801554
89,0.004944578,0.003713815
90,0.005494813,0.0041681463
91,0.008975991,0.004439118
92,0.0040002526,0.0019182146
93,0.002041967,0.0010489668
94,0.0033233229,0.0012001643
95,0.0073157237,0.0048136697
